pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
SL,8/20/19,85.5,669456,force_out,hit_into_play,8,R,NYM,CLE,X,5,ground_ball,1,0,3,88,101.5,4.7,85.425,2417,6.173,4
FF,8/20/19,93,669456,field_out,hit_into_play,13,R,NYM,CLE,X,6,popup,0,0,1,null,80,69,93.282,2252,6.438,3
FF,8/18/19,93.4,606930,home_run,hit_into_play_score,11,R,KC,NYM,X,null,fly_ball,0,2,9,418,110.7,27.5,94.717,2381,6.733,6
FF,8/18/19,93.9,663992,double,hit_into_play_score,6,L,KC,NYM,X,9,line_drive,3,2,7,330,94.5,40.9,96.389,2345,7.174,3
FF,8/18/19,90.8,642098,single,hit_into_play_no_out,4,R,KC,NYM,X,8,ground_ball,2,0,6,20,91.9,-3.9,91.345,2203,6.317,2
FF,8/18/19,92.1,642098,field_out,hit_into_play,4,R,KC,NYM,X,6,ground_ball,1,0,3,20,98.8,-5.7,92.749,2065,6.452,2
FF,8/17/19,88,641838,double,hit_into_play_no_out,8,R,KC,NYM,X,7,ground_ball,1,2,9,102,111,4.6,89.207,2195,6.587,4
SI,8/17/19,90.7,657612,single,hit_into_play_score,4,L,KC,NYM,X,4,ground_ball,3,2,7,24,75.4,-3.8,91.827,2047,6.96,2
FF,8/17/19,91.6,596001,field_out,hit_into_play,8,R,KC,NYM,X,5,ground_ball,2,1,5,4,89.3,-30.9,92.025,1787,6.194,2
SL,8/17/19,82.7,596001,strikeout,called_strike,8,R,KC,NYM,S,2,null,1,2,4,null,null,null,80.754,2599,4.656,null
SL,8/17/19,82.8,596001,single,hit_into_play_no_out,8,R,KC,NYM,X,8,line_drive,2,2,1,194,111.9,9.2,81.346,2595,5.096,5
FF,8/16/19,95.2,605130,field_out,hit_into_play,14,R,KC,NYM,X,9,fly_ball,0,0,8,316,89.6,30.1,97.141,2231,6.896,3
CH,8/16/19,84.3,543557,fielders_choice,hit_into_play_no_out,6,L,KC,NYM,X,6,ground_ball,0,0,3,9,92.5,-15.1,84.21,1783,6.164,2
CH,8/16/19,85.5,543557,field_out,hit_into_play,14,L,KC,NYM,X,5,ground_ball,1,1,1,null,82.9,-20.7,86.263,1805,6.676,2
SL,8/15/19,86.8,592426,single,hit_into_play_no_out,9,R,ATL,NYM,X,8,ground_ball,3,2,9,11,103.6,-10.6,86.753,2736,6.031,2
FF,8/15/19,92.5,461872,single,hit_into_play_score,5,R,ATL,NYM,X,7,line_drive,0,0,7,286,96.9,15.1,92.293,2045,5.888,4
FF,8/15/19,90,458708,single,hit_into_play_score,1,R,ATL,NYM,X,8,ground_ball,2,2,5,119,86,8,89.305,2264,5.799,4
FC,8/15/19,87.6,458708,single,hit_into_play_no_out,2,R,ATL,NYM,X,7,ground_ball,2,1,4,121,111.5,6.3,85.881,2645,4.981,4
FF,8/15/19,90,527054,home_run,hit_into_play_score,8,R,ATL,NYM,X,null,fly_ball,0,1,1,451,110.6,23,89.575,2408,5.889,6
FC,8/14/19,91.5,453343,fielders_choice,hit_into_play_no_out,7,R,ATL,NYM,X,4,ground_ball,2,1,9,16,103.4,-6.7,90.935,2394,5.87,2
CH,8/14/19,86.8,455119,field_out,hit_into_play,4,R,ATL,NYM,X,8,fly_ball,2,2,7,285,83.9,39.9,86.711,1298,5.858,3
FC,8/14/19,86.4,572971,field_out,hit_into_play,8,L,ATL,NYM,X,4,line_drive,3,1,4,174,81.3,13,86.011,1990,5.766,4
SL,8/14/19,79.9,572971,field_out,hit_into_play,8,L,ATL,NYM,X,8,fly_ball,2,1,1,212,94.8,59.1,78.928,2354,5.27,3
KC,8/13/19,82.7,453343,strikeout,swinging_strike_blocked,14,R,ATL,NYM,S,2,null,2,2,9,null,null,null,81.712,2610,5.801,null
SL,8/13/19,81.6,572888,single,hit_into_play_no_out,14,R,ATL,NYM,X,8,line_drive,0,2,8,284,98.3,14,79.424,2737,4.783,4
SL,8/13/19,84.9,608331,field_out,hit_into_play,13,L,ATL,NYM,X,1,ground_ball,0,0,5,3,49.6,-38.8,83.967,2463,5.558,1
SL,8/13/19,81,608331,field_out,hit_into_play,9,L,ATL,NYM,X,7,line_drive,1,1,3,314,91.5,21.9,80.228,2620,5.532,3
SI,8/11/19,90.7,434671,single,hit_into_play_no_out,4,R,NYM,WSH,X,8,ground_ball,2,0,5,128,69.1,10.6,91.659,2250,6.526,2
FF,8/11/19,88.1,434671,field_out,hit_into_play,1,R,NYM,WSH,X,3,popup,3,2,3,null,80,69,87.689,2271,6.041,3
SI,8/11/19,89,434671,field_out,hit_into_play,11,R,NYM,WSH,X,7,fly_ball,0,1,2,287,84.4,44,88.484,2128,5.893,3
FT,8/10/19,92.4,571578,strikeout,called_strike,4,L,NYM,WSH,S,2,null,0,2,6,null,null,null,91.979,2205,6.582,null
FT,8/10/19,94,571578,strikeout,called_strike,3,L,NYM,WSH,S,2,null,2,2,4,null,null,null,94.227,2169,6.652,null
SL,8/10/19,84.4,571578,strikeout,swinging_strike_blocked,13,L,NYM,WSH,S,2,null,0,2,1,null,null,null,82.471,2448,5.986,null
FF,8/9/19,97.2,543339,field_out,hit_into_play,6,R,NYM,WSH,X,6,ground_ball,1,2,8,6,87,-21.8,96.469,2430,6.166,2
FT,8/9/19,94.2,544931,field_out,hit_into_play,4,R,NYM,WSH,X,4,line_drive,1,0,6,153,64.6,16.7,95.357,2085,6.95,2
CH,8/9/19,87.2,544931,home_run,hit_into_play_score,14,R,NYM,WSH,X,null,fly_ball,1,0,4,426,110.3,20.5,87.775,1700,6.702,6
FT,8/9/19,94.5,544931,field_out,hit_into_play,13,R,NYM,WSH,X,6,ground_ball,1,0,2,65,75.2,3.8,95.579,2221,6.817,2
FF,8/7/19,93.1,641755,field_out,hit_into_play,8,R,NYM,MIA,X,1,ground_ball,1,1,7,1,46.6,-62.4,90.851,2238,4.92,1
FC,8/7/19,86.8,657141,field_out,hit_into_play,6,R,NYM,MIA,X,9,fly_ball,1,1,6,301,91.8,42.3,86.883,2570,6.106,3
FF,8/7/19,93.5,657141,strikeout,swinging_strike,6,R,NYM,MIA,S,2,null,1,2,3,null,null,null,94.208,2291,6.548,null
CH,8/7/19,80.5,657141,home_run,hit_into_play_score,5,R,NYM,MIA,X,null,line_drive,2,0,1,374,103.8,39.5,80.974,1799,6.28,5
FF,8/6/19,94,650671,strikeout,swinging_strike,11,L,NYM,MIA,S,2,null,1,2,7,null,null,null,94.433,2467,6.439,null
CH,8/6/19,87.1,456051,home_run,hit_into_play_score,8,R,NYM,MIA,X,null,line_drive,1,1,5,367,107.8,22,86.739,2113,6.092,6
CH,8/6/19,86.5,456051,strikeout,called_strike,7,R,NYM,MIA,S,2,null,1,2,3,null,null,null,85.88,1773,5.98,null
FF,8/5/19,95,656257,home_run,hit_into_play_score,5,R,NYM,MIA,X,null,fly_ball,3,2,7,353,104.3,24.8,94.829,2290,6.157,6
FF,8/5/19,93.6,612672,strikeout,swinging_strike,5,L,NYM,MIA,S,2,null,0,2,7,null,null,null,93.754,2183,5.984,null
FF,8/5/19,97,656257,single,hit_into_play_no_out,6,R,NYM,MIA,X,7,line_drive,0,0,6,216,110.2,10.8,95.427,2453,5.427,5
SL,8/5/19,78.4,667498,single,hit_into_play_score,9,R,NYM,MIA,X,8,ground_ball,0,0,5,122,105.9,6,77.434,2399,5.586,4
CH,8/5/19,88.3,645261,field_out,hit_into_play,3,R,NYM,MIA,X,8,fly_ball,0,1,3,343,93.7,33.3,87.919,2155,6.03,3
SL,8/5/19,80,667498,strikeout,called_strike,9,R,NYM,MIA,S,2,null,1,2,3,null,null,null,79.214,2676,5.318,null
FF,8/5/19,90.8,667498,strikeout,swinging_strike,2,R,NYM,MIA,S,2,null,0,2,1,null,null,null,88.622,2315,4.986,null
FF,8/3/19,93.9,608717,strikeout,swinging_strike,3,R,PIT,NYM,S,2,null,2,2,9,null,null,null,94.694,2636,6.539,null
SL,8/3/19,82,593140,strikeout,swinging_strike,14,R,PIT,NYM,S,2,null,0,2,7,null,null,null,81.909,null,5.988,null
FF,8/3/19,94.9,502042,grounded_into_double_play,hit_into_play,11,R,PIT,NYM,X,5,ground_ball,0,2,5,18,81.6,-10.1,95.022,2301,6.239,2
SL,8/3/19,90.7,502042,double,hit_into_play_no_out,5,R,PIT,NYM,X,7,ground_ball,2,2,3,37,110.9,-0.9,90.286,2715,5.493,4
SL,8/3/19,89.5,502042,strikeout,swinging_strike,14,R,PIT,NYM,S,2,null,1,2,1,null,null,null,88.525,2661,5.446,null
FF,8/2/19,98.5,553878,strikeout,called_strike,4,L,PIT,NYM,S,2,null,0,2,9,null,null,null,98.452,2514,6.256,null
FF,8/2/19,94.5,593144,single,hit_into_play_no_out,7,R,PIT,NYM,X,8,ground_ball,2,2,7,102,98.3,3.2,94.87,2363,6.442,4
FF,8/2/19,90.6,592866,strikeout,called_strike,7,R,PIT,NYM,S,2,null,2,2,5,null,null,null,91.84,2220,6.743,null
SL,8/2/19,85.5,592866,double,hit_into_play_score,9,R,PIT,NYM,X,8,line_drive,0,0,1,272,107.7,13.1,85.719,2072,6.201,5
FC,8/1/19,91.4,592612,force_out,hit_into_play,7,L,CWS,NYM,X,6,ground_ball,1,0,8,5,73.7,-21.4,91.321,2114,6.027,2
SL,8/1/19,83.4,656302,fielders_choice_out,hit_into_play,5,R,CWS,NYM,X,5,ground_ball,0,0,6,84,79.1,6.5,82.786,2455,5.628,2
FF,8/1/19,97.9,656302,strikeout,swinging_strike,11,R,CWS,NYM,S,2,null,3,2,4,null,null,null,97.608,2524,5.905,null
FF,8/1/19,97.4,656302,strikeout,swinging_strike,2,R,CWS,NYM,S,2,null,3,2,1,null,null,null,96.893,2625,5.934,null
SI,7/31/19,96.8,622772,force_out,hit_into_play,13,R,CWS,NYM,X,6,ground_ball,2,0,9,120,79.4,9.6,98.876,2099,7.221,4
SL,7/31/19,84.2,608337,strikeout,swinging_strike,9,R,CWS,NYM,S,2,null,3,2,6,null,null,null,85.26,1917,6.782,null
CH,7/31/19,81.9,608337,strikeout,swinging_strike,7,R,CWS,NYM,S,2,null,1,2,3,null,null,null,83.303,1641,7.08,null
FF,7/31/19,93.9,608337,field_out,hit_into_play,5,R,CWS,NYM,X,9,fly_ball,0,1,1,210,90.7,59.3,94.682,2369,6.662,3
SL,7/30/19,81.8,592612,strikeout,swinging_strike,14,L,CWS,NYM,S,2,null,3,2,11,null,null,null,81.261,2416,5.737,null
SI,7/30/19,96.1,607481,single,hit_into_play_no_out,6,L,CWS,NYM,X,7,line_drive,0,0,9,140,92.3,9.8,96.141,2081,5.796,4
CH,7/30/19,88.4,605359,field_out,hit_into_play,8,R,CWS,NYM,X,6,ground_ball,3,2,7,6,106,-14.1,87.796,1632,5.636,2
FF,7/30/19,97,625643,single,hit_into_play_no_out,6,R,CWS,NYM,X,9,line_drive,0,2,5,160,95.2,8.6,96.903,2124,6.049,4
FF,7/30/19,96,625643,strikeout,swinging_strike,6,R,CWS,NYM,S,2,null,2,2,3,null,null,null,95.918,2185,5.956,null
FT,7/28/19,93.5,434538,force_out,hit_into_play_score,12,L,NYM,PIT,X,6,ground_ball,0,0,6,119,80.6,9.7,93.408,1985,6.078,4
SL,7/28/19,88,502042,strikeout,swinging_strike_blocked,13,R,NYM,PIT,S,2,null,1,2,4,null,null,null,87.499,2579,5.546,null
FF,7/28/19,94.1,502042,field_out,hit_into_play,2,R,NYM,PIT,X,8,fly_ball,3,0,2,230,97.8,59,93.878,2310,5.992,3
SL,7/27/19,83.9,605195,strikeout,swinging_strike,14,R,NYM,PIT,S,2,null,1,2,8,null,null,null,82.971,3362,5.781,null
FF,7/27/19,91.1,592866,field_out,hit_into_play,4,R,NYM,PIT,X,2,popup,2,1,6,101,76.7,77.6,91.711,2281,6.568,3
SL,7/27/19,83.4,592866,strikeout,swinging_strike,14,R,NYM,PIT,S,2,null,1,2,4,null,null,null,83.576,2171,6.412,null
FF,7/27/19,92.2,592866,field_out,hit_into_play,1,R,NYM,PIT,X,5,popup,1,2,1,null,80,69,92.88,2148,6.526,3
FF,7/26/19,92.4,608717,field_out,hit_into_play,4,R,NYM,PIT,X,9,fly_ball,0,1,8,324,93.3,41.5,93.071,2580,6.549,3
SL,7/26/19,81.5,642607,home_run,hit_into_play_score,6,R,NYM,PIT,X,null,fly_ball,0,1,6,416,106.3,30.5,79.818,2147,5.042,6
SI,7/26/19,92.9,642607,field_out,hit_into_play,3,R,NYM,PIT,X,6,ground_ball,2,2,3,10,86.8,-18.6,92.049,2205,5.795,2
SI,7/26/19,92.3,642607,field_out,hit_into_play,4,R,NYM,PIT,X,4,ground_ball,2,2,1,117,77.6,9,91.08,2345,5.739,2
CU,7/25/19,77.4,663531,force_out,hit_into_play,8,L,NYM,SD,X,5,ground_ball,0,0,6,4,77.2,-30,76.938,2459,5.994,2
SL,7/25/19,86.4,606131,field_out,hit_into_play,14,R,NYM,SD,X,8,fly_ball,0,1,4,307,85.8,38.4,84.863,2281,5.391,3
CU,7/25/19,77.2,641778,single,hit_into_play_no_out,14,L,NYM,SD,X,8,ground_ball,0,2,1,48,91.6,2.5,76.438,2432,5.628,2
FF,7/24/19,93,621381,strikeout,called_strike,7,L,NYM,SD,S,2,null,3,2,6,null,null,null,92.329,2407,5.962,null
FT,7/24/19,95.7,659275,strikeout,called_strike,4,R,NYM,SD,S,2,null,1,2,3,null,null,null,95.285,2284,5.973,null
CU,7/23/19,79.1,663978,field_out,hit_into_play,14,R,NYM,SD,X,5,ground_ball,0,0,3,2,71.8,-31.1,77.922,2223,5.352,2
KC,7/21/19,82.2,453343,force_out,hit_into_play,14,R,SF,NYM,X,6,ground_ball,1,2,11,2,104.9,-26.7,80.88,2779,5.53,2
FF,7/21/19,91,669214,strikeout,swinging_strike,3,L,SF,NYM,S,2,null,1,2,3,null,null,null,91.79,2465,6.57,null
FF,7/21/19,91.7,669214,double_play,hit_into_play,4,L,SF,NYM,X,8,fly_ball,1,2,1,272,78.8,37.9,91.75,2387,6.409,3
SI,7/20/19,93.4,502706,home_run,hit_into_play_score,2,L,SF,NYM,X,null,fly_ball,0,1,6,444,113,26.1,92.637,2459,5.998,6
SL,7/19/19,82.1,519293,strikeout,swinging_strike,13,L,SF,NYM,S,2,null,3,2,9,null,null,null,81.916,2081,6.01,null
FF,7/19/19,94.3,595881,strikeout,swinging_strike,11,R,SF,NYM,S,2,null,1,2,6,null,null,null,94.913,2469,6.393,null
FF,7/19/19,95.3,595881,field_out,hit_into_play,8,R,SF,NYM,X,4,ground_ball,1,1,4,68,114.8,2.4,95.203,2415,6.156,4
FF,7/19/19,94.1,595881,strikeout,swinging_strike,11,R,SF,NYM,S,2,null,0,2,1,null,null,null,93.643,2425,5.882,null
CH,7/18/19,86.2,605301,home_run,hit_into_play_score,8,L,SF,NYM,X,null,fly_ball,0,2,16,427,107.2,31.8,85.476,952,5.668,6
FF,7/18/19,95.2,641627,field_out,hit_into_play,1,R,SF,NYM,X,8,fly_ball,3,2,13,329,89,29.8,95.051,2133,6.045,3
SL,7/18/19,84.6,606625,field_out,hit_into_play,9,R,SF,NYM,X,6,ground_ball,1,1,11,44,84.2,1.5,83.864,2587,5.612,2
FF,7/18/19,89.4,518516,force_out,hit_into_play,4,L,SF,NYM,X,5,ground_ball,1,1,9,18,101,-7.6,89.656,2365,6.383,2
CU,7/18/19,78.1,518516,field_out,hit_into_play,8,L,SF,NYM,X,8,fly_ball,2,1,6,350,100.1,38.2,76.905,2569,5.958,5
FC,7/18/19,85.9,518516,field_out,hit_into_play,5,L,SF,NYM,X,6,line_drive,3,2,4,170,103.1,10.4,85.733,2499,5.932,4
CU,7/18/19,77.3,518516,grounded_into_double_play,hit_into_play_score,14,L,SF,NYM,X,6,ground_ball,0,2,1,42,108.6,1.2,75.978,2738,5.36,4
CU,7/17/19,59.3,501303,field_out,hit_into_play,6,R,MIN,NYM,X,5,ground_ball,1,0,9,91,92.4,5.6,56.418,1560,4.423,4
SL,7/17/19,86.6,543483,home_run,hit_into_play_score,7,R,MIN,NYM,X,null,fly_ball,2,1,8,474,110.9,29.5,87.713,2277,6.671,6
CH,7/17/19,89.4,543507,strikeout,swinging_strike,8,R,MIN,NYM,S,2,null,2,2,7,null,null,null,91.763,1750,7.391,null
CH,7/17/19,84.7,527048,field_out,hit_into_play,9,L,MIN,NYM,X,6,ground_ball,1,1,5,9,99,-12.4,84.955,1505,6.029,2
CH,7/17/19,86.4,527048,strikeout,swinging_strike,14,L,MIN,NYM,S,2,null,0,2,1,null,null,null,86.756,1835,6.353,null
SL,7/16/19,84.9,501381,field_out,hit_into_play,8,R,MIN,NYM,X,5,ground_ball,2,2,5,50,112.2,0,84.442,2004,6.336,4
SL,7/16/19,84.4,501381,grounded_into_double_play,hit_into_play,9,R,MIN,NYM,X,4,ground_ball,1,0,3,8,70.7,-14,84.336,2079,6.298,2
SL,7/16/19,85.5,501381,strikeout,swinging_strike_blocked,14,R,MIN,NYM,S,2,null,1,2,1,null,null,null,85.206,1921,6.781,null
CU,7/14/19,73.3,612672,sac_fly,hit_into_play_score,7,L,MIA,NYM,X,8,fly_ball,0,1,8,394,98.2,27.6,72.388,2256,5.736,6
CH,7/14/19,90.8,645261,strikeout,swinging_strike,13,R,MIA,NYM,S,2,null,0,2,6,null,null,null,90.105,1992,5.931,null
CH,7/14/19,90.5,645261,strikeout,swinging_strike,14,R,MIA,NYM,S,2,null,0,2,4,null,null,null,89.376,1859,5.924,null
FF,7/14/19,96.9,645261,field_out,hit_into_play,3,R,MIA,NYM,X,7,fly_ball,0,2,1,359,108.7,45.3,95.12,2491,5.671,6
FF,7/13/19,95.3,650671,strikeout,swinging_strike,5,L,MIA,NYM,S,2,null,1,2,9,null,null,null,95.152,2486,6.167,null
FF,7/13/19,95.9,623433,field_out,hit_into_play,1,R,MIA,NYM,X,8,fly_ball,0,1,8,322,85.6,36.2,93.922,2435,5.349,3
FT,7/13/19,93.4,668678,strikeout,called_strike,6,R,MIA,NYM,S,2,null,1,2,5,null,null,null,92.774,2378,6.098,null
FF,7/13/19,91.2,668678,single,hit_into_play_no_out,11,R,MIA,NYM,X,8,line_drive,0,1,3,230,71.4,24.5,90.292,2316,5.815,4
FF,7/12/19,92,622694,strikeout,swinging_strike,11,R,MIA,NYM,S,2,null,0,2,8,null,null,null,91.901,2171,6.073,null
FF,7/12/19,92.8,592761,strikeout,called_strike,11,L,MIA,NYM,S,2,null,3,2,5,null,null,null,90.286,2440,5.126,null
SL,7/12/19,81.2,592761,strikeout,swinging_strike,8,L,MIA,NYM,S,2,null,1,2,1,null,null,null,78.76,2291,4.712,null
FF,7/7/19,92.4,488984,field_out,hit_into_play,11,R,NYM,PHI,X,1,line_drive,1,1,8,91,53.6,12.5,93.222,2517,6.659,1
KC,7/7/19,76.9,605400,home_run,hit_into_play_score,8,R,NYM,PHI,X,null,fly_ball,0,2,6,396,100.9,26.2,77.256,2693,6.406,6
CH,7/7/19,85.1,605400,strikeout,swinging_strike,13,R,NYM,PHI,S,2,null,3,2,3,null,null,null,85.52,1505,6.545,null
KC,7/7/19,79.8,605400,field_out,hit_into_play,9,R,NYM,PHI,X,1,ground_ball,2,2,1,2,51.4,-49.9,78.86,2521,6.165,1
SL,7/6/19,85.3,670456,field_out,hit_into_play,9,R,NYM,PHI,X,5,ground_ball,1,1,8,3,76.6,-30,83.837,2567,5.585,2
FF,7/6/19,92.7,624133,field_out,hit_into_play,4,L,NYM,PHI,X,5,ground_ball,3,2,6,16,89.1,-7.8,92.155,1927,6.092,2
CH,7/6/19,86.6,453562,field_out,hit_into_play,13,R,NYM,PHI,X,3,popup,1,0,4,null,80,69,85.377,1870,5.849,3
SI,7/6/19,93.4,453562,single,hit_into_play_no_out,4,R,NYM,PHI,X,7,ground_ball,3,2,2,28,88.1,-4.1,92.774,2175,6.005,2
FC,7/5/19,90.7,488984,field_out,hit_into_play,14,R,NYM,PHI,X,9,fly_ball,1,1,8,232,70.3,32.2,90.687,2636,5.932,4
SL,7/5/19,84.7,592826,double,hit_into_play_score,6,R,NYM,PHI,X,9,line_drive,1,2,5,277,109.4,13.4,84.494,2312,6.2,5
FF,7/5/19,93.9,592826,home_run,hit_into_play_score,5,R,NYM,PHI,X,null,fly_ball,1,2,4,392,109.6,40.2,94.579,2357,6.594,6
SL,7/5/19,86.6,592826,field_out,hit_into_play,14,R,NYM,PHI,X,4,line_drive,2,1,1,162,80.7,12.4,86.403,2531,6.109,4
SL,7/3/19,88.4,643338,single,hit_into_play_no_out,14,R,NYM,NYY,X,4,ground_ball,2,1,8,8,76.7,-14.5,88.234,null,5.996,2
CU,7/3/19,82.5,593334,strikeout,swinging_strike_blocked,14,R,NYM,NYY,S,2,null,0,2,6,null,null,null,81.109,2571,5.247,null
FT,7/3/19,94.9,593334,double,hit_into_play_no_out,1,R,NYM,NYY,X,7,line_drive,1,0,3,279,104.9,15.5,94.837,2422,6.139,5
CH,7/3/19,88,593334,field_out,hit_into_play,2,R,NYM,NYY,X,7,fly_ball,3,1,1,355,90.6,34.1,87.716,2296,5.932,3
KC,7/2/19,82.4,572020,strikeout,swinging_strike,14,L,NYM,NYY,S,2,null,1,2,5,null,null,null,82.683,1896,6.532,null
KC,7/2/19,81.8,572020,field_out,hit_into_play,6,L,NYM,NYY,X,9,fly_ball,2,1,1,205,88.2,56.8,81.539,2074,5.98,3
FC,6/30/19,94.1,621345,double,hit_into_play_score,4,L,NYM,ATL,X,7,ground_ball,1,2,8,90,90.1,5.4,93.449,2535,5.862,4
SL,6/30/19,86.3,656977,field_out,hit_into_play,9,R,NYM,ATL,X,4,popup,1,2,7,210,76.3,49.7,85.04,2906,5.461,3
SL,6/30/19,83.9,608331,strikeout,swinging_strike_blocked,13,L,NYM,ATL,S,2,null,2,2,5,null,null,null,82.233,2575,5.65,null
SL,6/30/19,87.8,608331,field_out,hit_into_play,11,L,NYM,ATL,X,5,ground_ball,0,2,1,95,72.1,9.4,86.046,2447,5.781,2
FS,6/29/19,86.9,657053,strikeout,swinging_strike,13,R,NYM,ATL,S,2,null,3,2,6,null,null,null,87.981,1429,6.605,null
SL,6/28/19,84.9,461872,field_out,hit_into_play,9,R,NYM,ATL,X,7,line_drive,2,1,7,310,92.3,22.1,84.703,2471,5.74,3
FT,6/28/19,92.7,647336,single,hit_into_play_no_out,8,R,NYM,ATL,X,7,ground_ball,1,2,6,44,108,0.2,92.231,2285,5.959,4
