pitch_type,game_date,release_speed,pitcher,events,description,zone,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,inning,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,launch_speed_angle
CH,6/28/19,81.6,647336,home_run,hit_into_play_score,7,R,NYM,ATL,X,null,fly_ball,2,1,4,363,96.6,40.6,80.93,2161,5.904,3
FT,6/28/19,94.7,647336,field_out,hit_into_play,7,R,NYM,ATL,X,4,ground_ball,3,2,1,16,78.5,-5.9,93.345,2181,5.382,2
FS,6/27/19,87.8,593576,field_out,hit_into_play,4,R,PHI,NYM,X,5,ground_ball,3,2,9,7,71.3,-19.8,87.239,1358,5.776,2
CH,6/27/19,85.6,605400,force_out,hit_into_play,11,R,PHI,NYM,X,4,ground_ball,3,1,6,84,52.2,12.7,86.553,1613,6.636,1
KC,6/27/19,78.5,605400,field_out,hit_into_play,1,R,PHI,NYM,X,9,fly_ball,2,2,3,253,84.5,50.2,77.076,2603,5.773,3
KC,6/27/19,80.3,605400,strikeout,called_strike,4,R,PHI,NYM,S,2,null,1,2,1,null,null,null,79.828,2615,6.027,null
FF,6/26/19,94.7,593576,strikeout,foul_tip,5,R,PHI,NYM,S,2,null,3,2,9,null,null,null,94.31,2397,6.022,null
KC,6/26/19,80.7,601713,strikeout,swinging_strike_blocked,14,R,PHI,NYM,S,2,null,0,2,6,null,null,null,79.582,2712,5.938,null
FF,6/26/19,94.1,601713,single,hit_into_play_no_out,11,R,PHI,NYM,X,7,line_drive,1,0,5,225,80.7,17.9,94.275,2244,6.408,4
KC,6/26/19,81,601713,field_out,hit_into_play,14,R,PHI,NYM,X,9,fly_ball,0,0,3,303,90.7,43.3,80.642,2592,6.221,3
FF,6/26/19,92.7,601713,double,hit_into_play_no_out,13,R,PHI,NYM,X,9,line_drive,2,1,1,305,88.3,23.2,92.411,2238,6.116,3
FS,6/25/19,86.6,593576,field_out,hit_into_play,4,R,PHI,NYM,X,3,popup,1,0,8,null,80,69,85.528,1245,5.523,3
SI,6/25/19,92,453562,field_out,hit_into_play,13,R,PHI,NYM,X,8,line_drive,0,0,6,335,93.9,22.6,91.439,2265,6.037,3
CH,6/25/19,88,453562,fielders_choice_out,hit_into_play,8,R,PHI,NYM,X,5,ground_ball,0,2,4,10,97.9,-8.8,86.855,1691,5.814,2
SL,6/25/19,90.2,453562,field_out,hit_into_play,9,R,PHI,NYM,X,7,fly_ball,0,0,2,356,93.9,33.4,90.521,2153,5.994,3
SI,6/25/19,93.4,453562,single,hit_into_play_no_out,5,R,PHI,NYM,X,4,ground_ball,0,2,1,4,84.8,-25.7,92.803,1967,5.915,2
SL,6/24/19,88.4,504379,single,hit_into_play_no_out,14,R,PHI,NYM,X,9,line_drive,1,0,6,241,86.3,16.6,88.3,1948,6.381,4
FT,6/24/19,91.7,621107,field_out,hit_into_play,13,R,PHI,NYM,X,5,ground_ball,1,1,4,null,82.9,-20.7,92.446,2153,6.748,2
FT,6/24/19,93.9,621107,single,hit_into_play_no_out,7,R,PHI,NYM,X,5,ground_ball,0,1,1,null,90.3,-17.3,94.048,2079,6.377,2
CH,6/23/19,83.7,430935,home_run,hit_into_play_score,9,L,CHC,NYM,X,null,fly_ball,0,2,4,454,110,24.4,83.315,1649,6.036,6
CH,6/23/19,82.8,430935,grounded_into_double_play,hit_into_play,14,L,CHC,NYM,X,6,ground_ball,1,1,1,12,90,-8.4,83.019,1769,6.359,2
FF,6/22/19,95.7,592858,double,hit_into_play_no_out,8,R,CHC,NYM,X,8,line_drive,0,0,6,340,112.1,12.2,95.986,2256,6.383,6
CU,6/22/19,75.8,500779,field_out,hit_into_play,9,L,CHC,NYM,X,6,ground_ball,3,2,4,6,95.3,-15.9,75.424,2158,5.565,2
CU,6/22/19,76.2,500779,field_out,hit_into_play,13,L,CHC,NYM,X,1,ground_ball,1,2,3,null,82.9,-20.7,75.472,2223,5.743,2
CU,6/22/19,76.2,500779,home_run,hit_into_play_score,9,L,CHC,NYM,X,null,fly_ball,3,2,1,419,108.1,29.3,75.264,2162,5.647,6
CH,6/21/19,84.6,543557,field_out,hit_into_play,12,L,CHC,NYM,X,6,ground_ball,1,1,8,9,65.9,-18.1,84.091,1959,6.071,2
FC,6/21/19,88.7,506433,strikeout,called_strike,1,R,CHC,NYM,S,2,null,0,2,6,null,null,null,87.983,1244,6.074,null
FS,6/21/19,89.6,506433,strikeout,swinging_strike,7,R,CHC,NYM,S,2,null,2,2,3,null,null,null,89.944,1300,6.048,null
FT,6/21/19,91.2,506433,strikeout,swinging_strike_blocked,14,R,CHC,NYM,S,2,null,0,2,1,null,null,null,91.092,1587,6.012,null
CH,6/20/19,86.5,640470,strikeout,swinging_strike,14,R,CHC,NYM,S,2,null,2,2,8,null,null,null,86.329,2117,5.991,null
FF,6/20/19,95.3,543022,home_run,hit_into_play_score,4,R,CHC,NYM,X,null,line_drive,1,1,3,409,117,21.4,94.875,2572,5.884,6
FT,6/20/19,94.9,543022,single,hit_into_play_no_out,5,R,CHC,NYM,X,8,line_drive,2,1,1,226,103.7,10.8,95.422,2418,6.448,4
FF,6/19/19,94.4,461872,field_out,hit_into_play,11,R,ATL,NYM,X,6,popup,1,2,7,null,80,69,94.568,2274,6.035,3
FF,6/19/19,97.8,608331,strikeout,foul_tip,14,L,ATL,NYM,S,2,null,3,2,5,null,null,null,98.32,2195,6.128,null
SL,6/19/19,88,608331,strikeout,swinging_strike,13,L,ATL,NYM,S,2,null,3,2,1,null,null,null,87.152,2439,5.61,null
FF,6/18/19,90,594795,single,hit_into_play_no_out,4,L,ATL,NYM,X,5,ground_ball,2,2,7,57,108.1,0.5,89.704,2204,6.101,4
FF,6/18/19,90.2,527054,home_run,hit_into_play_score,2,R,ATL,NYM,X,null,fly_ball,2,2,4,426,108,32.9,90.296,2411,6.192,6
SL,6/18/19,82.6,527054,double,hit_into_play_score,9,R,ATL,NYM,X,8,ground_ball,0,2,3,129,108.4,4.9,81.687,2560,5.698,4
FT,6/18/19,89.4,527054,double,hit_into_play_no_out,4,R,ATL,NYM,X,8,line_drive,1,1,1,383,113.5,14.5,88.905,2208,5.888,6
FF,6/17/19,89.1,460283,field_out,hit_into_play,4,L,ATL,NYM,X,8,line_drive,2,1,8,362,102.2,21,89.505,2282,6.468,5
FT,6/17/19,92.5,647336,field_out,hit_into_play,7,R,ATL,NYM,X,9,line_drive,0,0,6,324,93.6,23.8,90.484,2252,4.931,3
FT,6/17/19,94.7,647336,single,hit_into_play_score,4,R,ATL,NYM,X,7,line_drive,0,1,3,143,100.6,8.5,93.064,2196,5.296,4
FT,6/17/19,94,647336,strikeout,swinging_strike,13,R,ATL,NYM,S,2,null,3,2,1,null,null,null,91.626,2251,5.031,null
FT,6/16/19,93.2,593372,field_out,hit_into_play,2,R,NYM,STL,X,9,fly_ball,2,0,8,221,84,52.5,91.578,2070,5.326,3
SI,6/16/19,93.1,641712,single,hit_into_play_no_out,11,R,NYM,STL,X,8,line_drive,0,0,5,316,95.4,18.6,93.785,2085,6.521,4
SI,6/16/19,93.4,641712,strikeout,called_strike,2,R,NYM,STL,S,2,null,0,2,3,null,null,null,93.693,2228,6.209,null
FF,6/16/19,94.4,641712,field_out,hit_into_play,13,R,NYM,STL,X,6,line_drive,2,0,1,155,66.8,15.2,94.649,2105,6.161,2
null,6/15/19,null,605154,field_out,hit_into_play,null,R,NYM,STL,X,8,fly_ball,1,1,8,null,89,39,null,null,null,3
FF,6/15/19,95.4,608379,field_out,hit_into_play,4,R,NYM,STL,X,3,ground_ball,0,0,4,45,86.6,-0.3,95.955,2114,6.381,2
FF,6/15/19,93.6,608379,single,hit_into_play_no_out,6,R,NYM,STL,X,9,line_drive,1,1,2,178,101.6,8.4,94.024,2085,6.489,4
CH,6/15/19,85.1,608379,home_run,hit_into_play_score,1,R,NYM,STL,X,null,fly_ball,3,1,1,458,111.8,28.8,85.962,1462,6.677,6
FT,6/14/19,96.9,607231,double,hit_into_play_no_out,3,R,NYM,STL,X,8,line_drive,3,2,9,213,104,10.9,96.796,2488,6.337,4
FT,6/14/19,96.4,607231,fielders_choice,hit_into_play_score,1,R,NYM,STL,X,4,ground_ball,0,0,7,117,78.8,9.3,97.23,2448,6.674,4
SL,6/14/19,82.9,605154,field_out,hit_into_play,5,R,NYM,STL,X,8,fly_ball,3,1,5,269,91.7,49.3,83.267,2590,6.212,3
SL,6/13/19,82.4,453192,strikeout,swinging_strike,13,L,NYM,STL,S,2,null,1,2,8,null,null,null,82.708,2637,6.389,null
SL,6/13/19,84.3,656427,double,hit_into_play_no_out,8,R,NYM,STL,X,null,ground_ball,0,1,6,70,87.7,4.2,84.732,null,6.271,2
FT,6/13/19,93,656427,single,hit_into_play_no_out,4,R,NYM,STL,X,8,line_drive,2,1,3,195,82.7,13.7,93.628,1626,6.493,4
FT,6/13/19,92.7,656427,strikeout,called_strike,7,R,NYM,STL,S,2,null,1,2,1,null,null,null,94.256,1677,6.928,null
SL,6/11/19,85.3,570666,field_out,hit_into_play,4,R,NYY,NYM,X,5,ground_ball,2,2,8,35,81.1,-1.5,84.29,2512,5.392,2
FF,6/11/19,96.2,592454,strikeout,swinging_strike,11,R,NYY,NYM,S,2,null,0,2,7,null,null,null,96.657,2248,6.359,null
FF,6/11/19,90.9,547888,field_out,hit_into_play,4,R,NYY,NYM,X,7,line_drive,0,1,5,361,97.9,19.9,91.132,2136,6.157,4
SL,6/11/19,82.3,664856,strikeout,called_strike,9,R,NYY,NYM,S,2,null,2,2,4,null,null,null,82.045,3100,6.07,null
SL,6/11/19,81.8,547888,field_out,hit_into_play,6,R,NYY,NYM,X,5,ground_ball,1,1,3,21,85,-5.2,80.341,2352,5.487,2
SL,6/11/19,82.7,547888,strikeout,swinging_strike,14,R,NYY,NYM,S,2,null,1,2,1,null,null,null,81.99,2413,5.545,null
FF,6/11/19,95,572020,home_run,hit_into_play_score,3,L,NYY,NYM,X,null,fly_ball,2,2,1,424,109.6,20.2,95.191,2308,6.294,6
CU,6/9/19,77.7,656546,strikeout,swinging_strike_blocked,14,R,NYM,COL,S,2,null,1,2,5,null,null,null,77.52,2576,6.453,null
FF,6/9/19,93.6,656546,field_out,hit_into_play,11,R,NYM,COL,X,5,ground_ball,0,1,3,43,90.7,-0.4,92.763,2418,5.872,2
CU,6/9/19,77.6,656546,strikeout,swinging_strike_blocked,14,R,NYM,COL,S,2,null,1,2,1,null,null,null,77.31,2528,6.334,null
FF,6/8/19,93.8,459429,home_run,hit_into_play_score,4,L,NYM,COL,X,null,fly_ball,1,0,7,364,111.5,48.2,92.828,2251,5.84,6
SL,6/8/19,87.6,592351,strikeout,swinging_strike,14,R,NYM,COL,S,2,null,1,2,5,null,null,null,87.168,2164,5.984,null
FF,6/8/19,97.3,592351,field_out,hit_into_play,5,R,NYM,COL,X,5,ground_ball,3,2,1,4,94,-26.5,96.792,2015,5.889,2
SL,6/7/19,85.3,623184,field_out,hit_into_play,14,R,NYM,COL,X,3,ground_ball,1,2,8,11,65.1,-5.4,85.13,2550,6.084,2
FF,6/7/19,90.7,622608,field_out,hit_into_play,4,R,NYM,COL,X,6,ground_ball,0,2,6,15,102.3,-9.6,90.709,1917,6.208,2
FF,6/7/19,95.1,622608,grounded_into_double_play,hit_into_play,8,R,NYM,COL,X,6,ground_ball,3,0,3,97,106.8,3.6,94.357,1954,5.818,4
FF,6/7/19,95.1,622608,field_out,hit_into_play,13,R,NYM,COL,X,6,ground_ball,2,2,1,28,95.8,-1.5,95.008,2182,6.269,2
FC,6/6/19,90.6,453343,field_out,hit_into_play,1,R,NYM,SF,X,5,popup,0,0,8,null,80,69,90.479,2116,6.182,3
FC,6/6/19,91.9,453343,single,hit_into_play_no_out,6,R,NYM,SF,X,7,ground_ball,2,0,8,86,109.7,2.2,92.075,2305,6.427,4
SL,6/6/19,84.3,641312,field_out,hit_into_play,5,R,NYM,SF,X,7,fly_ball,1,0,6,null,89.2,39.3,81.264,2430,4.574,3
CH,6/6/19,85.6,641312,strikeout,swinging_strike,4,R,NYM,SF,S,2,null,2,2,3,null,null,null,84.621,1221,5.819,null
FF,6/5/19,95.7,641627,field_out,hit_into_play,6,R,NYM,SF,X,9,fly_ball,2,2,6,326,97.8,44,94.96,2113,5.937,3
FF,6/5/19,95.6,595881,field_out,hit_into_play,3,R,NYM,SF,X,8,fly_ball,2,1,1,373,105.8,39.5,94.537,2459,5.771,6
SI,6/4/19,92.1,502706,strikeout,called_strike,7,L,NYM,SF,S,2,null,3,2,10,null,null,null,91.779,2185,6.176,null
CH,6/4/19,86.8,453265,field_out,hit_into_play,14,L,NYM,SF,X,7,line_drive,1,2,8,287,79.4,29.4,85.606,2338,5.646,3
FF,6/4/19,92.2,518516,home_run,hit_into_play_score,2,L,NYM,SF,X,null,fly_ball,0,1,6,421,108.1,26.3,92.811,2361,6.561,6
FC,6/4/19,88,518516,single,hit_into_play_no_out,4,L,NYM,SF,X,7,line_drive,2,2,3,203,88.2,14,88.169,2664,6.268,4
SI,6/2/19,93.5,592233,field_out,hit_into_play,11,R,ARI,NYM,X,8,line_drive,1,1,9,291,82,24.1,93.092,2014,6.044,3
FF,6/2/19,93.1,518876,field_out,hit_into_play,9,R,ARI,NYM,X,6,ground_ball,3,1,6,24,86.4,-1.8,93.209,2643,6.213,2
FF,6/2/19,91.2,518876,field_out,hit_into_play,6,R,ARI,NYM,X,9,fly_ball,2,0,3,280,83.1,40.5,90.849,2308,6.062,3
SI,6/2/19,92.1,518876,force_out,hit_into_play,13,R,ARI,NYM,X,6,ground_ball,3,1,1,115,75.5,10.3,91.269,2321,6.022,2
SI,6/1/19,90.3,643327,single,hit_into_play_no_out,5,R,ARI,NYM,X,7,ground_ball,1,1,8,74,88.8,3.2,88.764,2248,5.548,2
SI,6/1/19,90.2,643327,field_out,hit_into_play,9,R,ARI,NYM,X,8,line_drive,0,1,5,367,98.6,19.3,88.806,2222,5.41,4
SL,6/1/19,84.1,425844,field_out,hit_into_play,14,R,ARI,NYM,X,9,fly_ball,2,2,3,284,88.6,45.1,82.844,2583,5.471,3
CH,6/1/19,86.3,425844,double,hit_into_play_score,8,R,ARI,NYM,X,8,line_drive,0,1,1,417,110.5,17.7,85.338,1598,5.725,6
SL,5/31/19,84.4,518813,strikeout,swinging_strike_blocked,14,R,ARI,NYM,S,2,null,1,2,9,null,null,null,83.889,2149,5.956,null
FF,5/31/19,96.2,605151,force_out,hit_into_play,4,R,ARI,NYM,X,5,ground_ball,0,2,7,40,84.9,0,96.495,2304,6.369,2
SL,5/31/19,84.4,641541,field_out,hit_into_play,8,R,ARI,NYM,X,6,ground_ball,0,0,5,29,100.6,-2.4,85.228,2183,6.889,2
FT,5/31/19,92.5,641541,single,hit_into_play_no_out,4,R,ARI,NYM,X,7,line_drive,1,2,3,146,96.9,7.3,94.355,2157,7.289,4
FT,5/31/19,93.1,641541,grounded_into_double_play,hit_into_play,13,R,ARI,NYM,X,4,ground_ball,1,1,1,13,98.2,-7.1,94.191,2235,6.889,2
FC,5/30/19,84.7,547943,double,hit_into_play_no_out,8,L,LAD,NYM,X,7,line_drive,1,0,7,190,114.6,7.7,85.305,2029,6.251,5
CU,5/30/19,75.1,547943,field_out,hit_into_play,3,L,LAD,NYM,X,9,line_drive,1,1,4,333,94.5,23.5,74.899,2660,6.226,3
FC,5/30/19,84.2,547943,strikeout,swinging_strike_blocked,13,L,LAD,NYM,S,2,null,1,2,2,null,null,null,84.412,2118,6.422,null
CH,5/29/19,82.8,628711,single,hit_into_play_no_out,14,L,LAD,NYM,X,7,line_drive,1,2,7,237,93.9,12.4,82.924,1859,6.118,4
FC,5/29/19,92.3,621111,home_run,hit_into_play_score,2,R,LAD,NYM,X,null,fly_ball,0,1,5,368,100,25.4,92.257,2696,6.095,6
FT,5/29/19,98.1,621111,field_out,hit_into_play,5,R,LAD,NYM,X,4,ground_ball,3,1,3,10,105.7,-10.3,97.948,2474,6.032,2
FF,5/29/19,97.9,621111,home_run,hit_into_play_score,6,R,LAD,NYM,X,null,line_drive,0,0,1,408,106,19.8,97.638,2551,5.991,6
CH,5/28/19,84.5,548389,double,hit_into_play_no_out,13,R,LAD,NYM,X,7,line_drive,1,1,7,176,113.5,8,84.883,1632,6.325,5
CU,5/28/19,73.9,448179,strikeout,swinging_strike,8,L,LAD,NYM,S,2,null,2,2,5,null,null,null,72.26,2867,5.5,null
FF,5/28/19,89.1,448179,strikeout,swinging_strike,12,L,LAD,NYM,S,2,null,2,2,3,null,null,null,89.052,2369,6.226,null
FF,5/28/19,92.1,448179,strikeout,called_strike,5,L,LAD,NYM,S,2,null,2,2,1,null,null,null,93.15,2502,6.967,null
null,5/27/19,null,445276,triple,hit_into_play_no_out,null,R,LAD,NYM,X,8,fly_ball,0,2,9,null,96.9,31.3,null,null,null,5
null,5/27/19,null,520980,field_out,hit_into_play,null,R,LAD,NYM,X,8,fly_ball,0,0,7,null,89.2,39.3,null,null,null,3
null,5/27/19,null,477132,field_out,hit_into_play,null,L,LAD,NYM,X,6,ground_ball,1,2,5,null,82.9,-20.7,null,null,null,2
null,5/27/19,null,477132,field_out,hit_into_play,null,L,LAD,NYM,X,5,line_drive,2,1,3,null,91.1,18.2,null,null,null,4
null,5/27/19,null,477132,single,hit_into_play_score,null,L,LAD,NYM,X,7,ground_ball,1,0,1,null,90.3,-17.3,null,null,null,2
CH,5/25/19,80.3,543278,fielders_choice,hit_into_play_no_out,12,L,NYM,DET,X,6,ground_ball,1,2,8,33,73.7,-1.5,79.834,1962,5.845,2
CH,5/25/19,77.9,598286,strikeout,swinging_strike,14,L,NYM,DET,S,2,null,1,2,6,null,null,null,76.231,1528,5.246,null
SL,5/25/19,81.7,543001,strikeout,foul_tip,8,L,NYM,DET,S,2,null,1,2,4,null,null,null,80.552,2729,5.514,null
FT,5/25/19,91.5,543001,field_out,hit_into_play,6,L,NYM,DET,X,9,line_drive,1,0,1,319,88.5,23,91.521,2142,6.224,3
SL,5/24/19,90.1,622505,field_out,hit_into_play,9,R,NYM,DET,X,1,ground_ball,1,1,7,0,59.6,-87.2,88.165,2054,5.486,2
FF,5/24/19,93.4,643617,home_run,hit_into_play_score,11,R,NYM,DET,X,null,fly_ball,2,2,5,401,105.2,27.3,92.725,2100,6.304,6
SI,5/24/19,91.7,642397,double,hit_into_play_no_out,5,L,NYM,DET,X,7,line_drive,1,1,4,211,105.1,12.3,92.76,2181,7.219,4
SL,5/24/19,83.4,642397,strikeout,swinging_strike,14,L,NYM,DET,S,2,null,1,2,2,null,null,null,83.137,2107,6.566,null
FC,5/23/19,91.7,593833,strikeout,swinging_strike,12,R,NYM,WSH,S,2,null,1,2,8,null,null,null,91.627,2665,6.001,null
FF,5/23/19,94.1,544931,sac_fly,hit_into_play_score,2,R,NYM,WSH,X,8,fly_ball,2,2,6,357,98.3,38.2,95.133,2163,6.821,3
CH,5/23/19,85.2,544931,strikeout,swinging_strike,13,R,NYM,WSH,S,2,null,1,2,4,null,null,null,86.663,1459,7.185,null
FT,5/23/19,93.1,544931,strikeout,swinging_strike,13,R,NYM,WSH,S,2,null,2,2,1,null,null,null,93.748,2053,6.638,null
FF,5/22/19,92.8,607457,field_out,hit_into_play,11,R,NYM,WSH,X,5,ground_ball,0,2,8,6,91.4,-33.9,92.604,2257,6.226,2
FF,5/22/19,95.4,453286,strikeout,swinging_strike,11,R,NYM,WSH,S,2,null,2,2,5,null,null,null,95.136,2461,6.124,null
CU,5/22/19,79.6,453286,strikeout,called_strike,7,R,NYM,WSH,S,2,null,3,2,4,null,null,null,78.561,2677,5.601,null
FF,5/22/19,96.8,453286,strikeout,swinging_strike,11,R,NYM,WSH,S,2,null,2,2,1,null,null,null,96.787,2590,6.355,null
FF,5/21/19,98.9,663432,home_run,hit_into_play_score,2,R,NYM,WSH,X,null,fly_ball,1,2,8,417,112.2,35.1,98.093,2281,6.069,6
FC,5/21/19,92.2,593833,field_out,hit_into_play,12,R,NYM,WSH,X,9,fly_ball,3,1,6,250,71,34.1,91.115,2609,5.837,3
SI,5/21/19,91,607200,field_out,hit_into_play,13,R,NYM,WSH,X,8,line_drive,3,1,2,350,88.4,25.6,90.422,1840,6.271,3
FT,5/20/19,89,571578,field_out,hit_into_play,6,L,NYM,WSH,X,8,fly_ball,0,1,5,356,97.2,35.5,88.686,2216,6.065,3
FT,5/20/19,91.7,571578,strikeout,swinging_strike,12,L,NYM,WSH,S,2,null,0,2,3,null,null,null,91.823,2142,6.137,null
FT,5/20/19,91.7,571578,home_run,hit_into_play_score,7,L,NYM,WSH,X,null,fly_ball,1,2,1,416,108.1,31.3,91.874,2196,6.427,6
CH,5/19/19,90.9,645261,strikeout,swinging_strike,8,R,MIA,NYM,S,2,null,2,2,5,null,null,null,90.529,1741,6.077,null
SI,5/19/19,95.2,645261,field_out,hit_into_play,11,R,MIA,NYM,X,5,line_drive,1,0,2,132,61.9,17.4,93.701,2194,5.429,2
FT,5/18/19,93.6,641154,field_out,hit_into_play,4,R,MIA,NYM,X,3,line_drive,1,0,7,122,54,20.5,93.665,1976,6.531,1
FT,5/18/19,94.6,641154,field_out,hit_into_play,11,R,MIA,NYM,X,5,ground_ball,1,0,4,9,56.2,-17.8,95.687,2058,6.832,1
CH,5/18/19,88.5,641154,field_out,hit_into_play,5,R,MIA,NYM,X,5,ground_ball,3,2,1,12,92.6,-10.2,90.271,2091,7.409,2
FF,5/17/19,85.8,489265,field_out,hit_into_play,3,R,MIA,NYM,X,7,fly_ball,2,2,9,296,85.9,42.4,85.348,2210,5.925,3
FF,5/17/19,95.5,623433,home_run,hit_into_play_score,2,R,MIA,NYM,X,null,fly_ball,0,0,8,419,104.9,27.2,94.472,2286,5.799,6
FF,5/17/19,90.9,670950,field_out,hit_into_play,1,R,MIA,NYM,X,8,fly_ball,1,1,6,266,88.7,47.5,91.241,2127,6.523,3
FF,5/17/19,91.3,670950,field_out,hit_into_play,4,R,MIA,NYM,X,9,fly_ball,0,0,3,326,92.1,27.2,91.219,2131,6.422,3
FC,5/17/19,85.5,670950,home_run,hit_into_play_score,9,R,MIA,NYM,X,null,fly_ball,1,0,2,417,105.6,21.1,85.083,2079,6.166,6
FF,5/16/19,93.7,607457,field_out,hit_into_play,1,R,WSH,NYM,X,8,fly_ball,0,0,7,338,88.3,29.7,94.171,2503,6.154,3
FS,5/15/19,82.4,448281,strikeout,swinging_strike,12,L,WSH,NYM,S,2,null,1,2,9,null,null,null,82.885,2100,6.53,null
